time_s,instrument,velocity,section,sample_rate
85.750000,8,0.750,C,48000
85.750000,0,0.900,C,48000
85.906250,7,0.780,C,48000
86.062500,11,0.500,C,48000
86.062500,6,0.810,C,48000
86.218750,5,0.840,C,48000
86.375000,11,0.800,C,48000
86.375000,1,0.950,C,48000
86.375000,4,0.870,C,48000
86.531250,3,0.900,C,48000
86.687500,11,0.500,C,48000
86.687500,0,0.700,C,48000
86.687500,2,0.930,C,48000
86.843750,0,0.960,C,48000
87.050000,1,0.800,D,48000
87.128125,1,0.800,D,48000
87.206250,1,0.800,D,48000
87.284375,1,0.800,D,48000
87.362500,1,0.800,D,48000
87.440625,1,0.800,D,48000
87.518750,1,0.800,D,48000
87.596875,1,0.800,D,48000
87.675000,1,0.800,D,48000
87.753125,1,0.800,D,48000
87.831250,1,0.800,D,48000
87.909375,1,0.800,D,48000
87.987500,1,0.800,D,48000
88.065625,1,0.800,D,48000
88.143750,1,0.800,D,48000
88.221875,1,0.800,D,48000
88.300000,1,0.800,D,48000
88.378125,1,0.800,D,48000
88.456250,1,0.800,D,48000
88.534375,1,0.800,D,48000
88.612500,1,0.800,D,48000
88.690625,1,0.800,D,48000
88.768750,1,0.800,D,48000
88.846875,1,0.800,D,48000
88.925000,1,0.800,D,48000
